key,value,date
fiscal cliff,3,12/1/13
fiscal cliff,9,12/2/13
fiscal cliff,62,12/3/13
fiscal cliff,53,12/4/13
fiscal cliff,62,12/5/13
fiscal cliff,57,12/6/13
fiscal cliff,43,12/7/13
fiscal cliff,12,12/8/13
fiscal cliff,8,12/9/13
fiscal cliff,31,12/10/13
fiscal cliff,62,12/11/13
fiscal cliff,67,12/12/13
fiscal cliff,55,12/13/13
fiscal cliff,26,12/14/13
fiscal cliff,2,12/15/13
fiscal cliff,3,12/16/13
fiscal cliff,22,12/17/13
fiscal cliff,26,12/18/13
fiscal cliff,29,12/19/13
fiscal cliff,46,12/20/13
fiscal cliff,50,12/21/13
fiscal cliff,12,12/22/13
fiscal cliff,5,12/23/13
fiscal cliff,4,12/24/13
fiscal cliff,1,12/25/13
fiscal cliff,10,12/26/13
fiscal cliff,30,12/27/13
fiscal cliff,27,12/28/13
fiscal cliff,12,12/29/13
fiscal cliff,40,12/30/13
fiscal cliff,63,12/31/13
dec,5,12/1/13
dec,5,12/2/13
dec,18,12/3/13
dec,35,12/4/13
dec,18,12/5/13
dec,34,12/6/13
dec,46,12/7/13
dec,14,12/8/13
dec,11,12/9/13
dec,39,12/10/13
dec,23,12/11/13
dec,24,12/12/13
dec,37,12/13/13
dec,28,12/14/13
dec,8,12/15/13
dec,9,12/16/13
dec,29,12/17/13
dec,25,12/18/13
dec,22,12/19/13
dec,24,12/20/13
dec,38,12/21/13
dec,15,12/22/13
dec,12,12/23/13
dec,8,12/24/13
dec,2,12/25/13
dec,13,12/26/13
dec,10,12/27/13
dec,14,12/28/13
dec,6,12/29/13
dec,7,12/30/13
dec,4,12/31/13
timeline photos,17,12/1/13
timeline photos,4,12/2/13
timeline photos,26,12/3/13
timeline photos,31,12/4/13
timeline photos,29,12/5/13
timeline photos,20,12/6/13
timeline photos,29,12/7/13
timeline photos,6,12/8/13
timeline photos,5,12/9/13
timeline photos,29,12/10/13
timeline photos,31,12/11/13
timeline photos,36,12/12/13
timeline photos,30,12/13/13
timeline photos,23,12/14/13
timeline photos,6,12/15/13
timeline photos,4,12/16/13
timeline photos,27,12/17/13
timeline photos,36,12/18/13
timeline photos,28,12/19/13
timeline photos,31,12/20/13
timeline photos,24,12/21/13
timeline photos,8,12/22/13
timeline photos,7,12/23/13
timeline photos,6,12/24/13
timeline photos,9,12/25/13
timeline photos,25,12/26/13
timeline photos,16,12/27/13
timeline photos,13,12/28/13
timeline photos,2,12/29/13
timeline photos,2,12/30/13
timeline photos,13,12/31/13
para,11,12/1/13
para,6,12/2/13
para,27,12/3/13
para,25,12/4/13
para,24,12/5/13
para,25,12/6/13
para,21,12/7/13
para,6,12/8/13
para,6,12/9/13
para,28,12/10/13
para,23,12/11/13
para,25,12/12/13
para,19,12/13/13
para,30,12/14/13
para,9,12/15/13
para,3,12/16/13
para,9,12/17/13
para,18,12/18/13
para,16,12/19/13
para,13,12/20/13
para,21,12/21/13
para,7,12/22/13
para,4,12/23/13
para,3,12/24/13
para,5,12/25/13
para,8,12/26/13
para,22,12/27/13
para,12,12/28/13
para,4,12/29/13
para,2,12/30/13
para,9,12/31/13
holiday season,6,12/1/13
holiday season,0,12/2/13
holiday season,15,12/3/13
holiday season,12,12/4/13
holiday season,10,12/5/13
holiday season,15,12/6/13
holiday season,12,12/7/13
holiday season,5,12/8/13
holiday season,6,12/9/13
holiday season,15,12/10/13
holiday season,16,12/11/13
holiday season,18,12/12/13
holiday season,16,12/13/13
holiday season,15,12/14/13
holiday season,3,12/15/13
holiday season,3,12/16/13
holiday season,20,12/17/13
holiday season,35,12/18/13
holiday season,27,12/19/13
holiday season,26,12/20/13
holiday season,33,12/21/13
holiday season,9,12/22/13
holiday season,7,12/23/13
holiday season,20,12/24/13
holiday season,22,12/25/13
holiday season,4,12/26/13
holiday season,13,12/27/13
holiday season,7,12/28/13
holiday season,2,12/29/13
holiday season,1,12/30/13
holiday season,2,12/31/13
veterans,4,12/1/13
veterans,8,12/2/13
veterans,20,12/3/13
veterans,22,12/4/13
veterans,17,12/5/13
veterans,17,12/6/13
veterans,41,12/7/13
veterans,4,12/8/13
veterans,3,12/9/13
veterans,14,12/10/13
veterans,18,12/11/13
veterans,20,12/12/13
veterans,20,12/13/13
veterans,31,12/14/13
veterans,12,12/15/13
veterans,3,12/16/13
veterans,10,12/17/13
veterans,18,12/18/13
veterans,16,12/19/13
veterans,24,12/20/13
veterans,17,12/21/13
veterans,3,12/22/13
veterans,3,12/23/13
veterans,5,12/24/13
veterans,8,12/25/13
veterans,4,12/26/13
veterans,6,12/27/13
veterans,6,12/28/13
veterans,5,12/29/13
veterans,6,12/30/13
veterans,16,12/31/13
energy,7,12/1/13
energy,2,12/2/13
energy,24,12/3/13
energy,19,12/4/13
energy,17,12/5/13
energy,18,12/6/13
energy,17,12/7/13
energy,8,12/8/13
energy,1,12/9/13
energy,21,12/10/13
energy,16,12/11/13
energy,9,12/12/13
energy,31,12/13/13
energy,11,12/14/13
energy,2,12/15/13
energy,2,12/16/13
energy,25,12/17/13
energy,25,12/18/13
energy,13,12/19/13
energy,18,12/20/13
energy,9,12/21/13
energy,1,12/22/13
energy,1,12/23/13
energy,1,12/24/13
energy,2,12/25/13
energy,7,12/26/13
energy,11,12/27/13
energy,11,12/28/13
energy,2,12/29/13
energy,1,12/30/13
energy,5,12/31/13
soldiers,8,12/1/13
soldiers,9,12/2/13
soldiers,13,12/3/13
soldiers,9,12/4/13
soldiers,12,12/5/13
soldiers,14,12/6/13
soldiers,18,12/7/13
soldiers,4,12/8/13
soldiers,7,12/9/13
soldiers,14,12/10/13
soldiers,19,12/11/13
soldiers,20,12/12/13
soldiers,33,12/13/13
soldiers,15,12/14/13
soldiers,3,12/15/13
soldiers,2,12/16/13
soldiers,7,12/17/13
soldiers,15,12/18/13
soldiers,18,12/19/13
soldiers,18,12/20/13
soldiers,0,12/21/13
soldiers,0,12/22/13
soldiers,0,12/23/13
soldiers,0,12/24/13
soldiers,0,12/25/13
soldiers,0,12/26/13
soldiers,0,12/27/13
soldiers,1,12/28/13
soldiers,0,12/29/13
soldiers,0,12/30/13
soldiers,1,12/31/13
pearl harbor,0,12/1/13
pearl harbor,1,12/2/13
pearl harbor,3,12/3/13
pearl harbor,0,12/4/13
pearl harbor,3,12/5/13
pearl harbor,4,12/6/13
pearl harbor,240,12/7/13
pearl harbor,21,12/8/13
pearl harbor,2,12/9/13
pearl harbor,9,12/10/13
pearl harbor,3,12/11/13
pearl harbor,0,12/12/13
pearl harbor,2,12/13/13
pearl harbor,12,12/14/13
pearl harbor,2,12/15/13
pearl harbor,1,12/16/13
pearl harbor,2,12/17/13
pearl harbor,0,12/18/13
pearl harbor,0,12/19/13
pearl harbor,0,12/20/13
pearl harbor,3,12/21/13
pearl harbor,0,12/22/13
pearl harbor,1,12/23/13
pearl harbor,0,12/24/13
pearl harbor,1,12/25/13
pearl harbor,0,12/26/13
pearl harbor,1,12/27/13
pearl harbor,0,12/28/13
pearl harbor,0,12/29/13
pearl harbor,0,12/30/13
pearl harbor,1,12/31/13
prayers,0,12/1/13
prayers,0,12/2/13
prayers,0,12/3/13
prayers,0,12/4/13
prayers,2,12/5/13
prayers,5,12/6/13
prayers,4,12/7/13
prayers,3,12/8/13
prayers,0,12/9/13
prayers,0,12/10/13
prayers,1,12/11/13
prayers,2,12/12/13
prayers,4,12/13/13
prayers,0,12/14/13
prayers,178,12/15/13
prayers,19,12/16/13
prayers,0,12/17/13
prayers,6,12/18/13
prayers,6,12/19/13
prayers,3,12/20/13
prayers,2,12/21/13
prayers,4,12/22/13
prayers,0,12/23/13
prayers,6,12/24/13
prayers,10,12/25/13
prayers,3,12/26/13
prayers,3,12/27/13
prayers,10,12/28/13
prayers,0,12/29/13
prayers,0,12/30/13
prayers,2,12/31/13
